Name,MAC Address,IAQ Score,PM 10,PM 2.5,PM 1.0,CO2,TVOC,Temperature,Humidity,Time
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,15,15,11,400,86,27.16,24.66,2023-04-07T14:56:48
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,15,15,11,400,108,27.18,24.73,2023-04-07T14:56:52
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,17,16,12,400,97,27.16,24.74,2023-04-07T14:56:54
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,17,16,11,400,97,27.16,24.73,2023-04-07T14:56:57
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,17,16,11,400,108,27.15,24.85,2023-04-07T14:57:01
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,86,14,14,11,400,201,26.98,25.36,2023-04-07T15:06:15
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,89,11,11,9,400,68,27.08,26.41,2023-04-07T15:36:04
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,86,14,14,11,400,60,25.78,29.73,2023-04-07T16:54:54
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,87,14,13,10,400,37,25.68,30.48,2023-04-07T17:01:36
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,89,12,11,9,400,24,24.81,30.3,2023-04-07T18:30:00
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,87,6,6,5,487,56,22.9,27.81,2023-04-10T09:58:15
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,69,6,6,6,726,221,25.7,26.34,2023-04-10T11:28:05
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,74,5,4,4,655,153,25.18,30.89,2023-04-10T13:52:41
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,74,6,4,4,656,151,24.99,31.67,2023-04-10T14:06:06
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,75,4,4,3,637,193,25.22,31.74,2023-04-10T14:28:09
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,66,6,4,4,768,219,25.31,32.86,2023-04-10T15:15:35
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,71,5,3,3,688,175,25.26,32.81,2023-04-10T15:16:54
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,66,7,7,6,771,247,24.96,35.15,2023-04-10T16:20:06
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,54,7,6,5,940,416,25.17,45.02,2023-04-11T10:06:10
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,49,7,5,4,1281,684,25.12,45.42,2023-04-11T10:46:15
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,73,6,6,6,665,136,25.23,45.01,2023-04-11T11:04:25
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,94,6,6,6,400,12,26.61,42.28,2023-04-11T12:07:55
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,84,8,7,7,514,187,26.66,45.8,2023-04-11T13:49:19
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,84,8,8,7,513,91,25.92,48.78,2023-04-11T15:14:09
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,82,7,7,7,541,147,26,50.8,2023-04-11T16:21:12
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,70,10,10,8,703,255,26.22,50.43,2023-04-11T17:44:42
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,70,11,11,8,701,263,26.22,50.52,2023-04-11T17:44:56
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,70,12,11,8,702,291,26.21,50.46,2023-04-11T17:45:00
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,89,7,6,5,400,100,28.37,21.19,2023-04-12T13:51:38
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,88,7,7,6,400,85,26.7,19.57,2023-04-12T14:20:52
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,87,7,7,6,400,44,26.03,18.84,2023-04-12T14:30:00
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,89,7,7,7,400,37,25.73,22.32,2023-04-12T16:07:06
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,90,8,6,5,400,132,25.37,24.08,2023-04-12T16:58:29
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,85,7,6,5,502,193,25.82,26.79,2023-04-12T17:52:37
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,49,6,5,4,1194,705,26.66,19.5,2023-04-13T10:18:56
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,55,6,4,4,938,637,26.65,19.03,2023-04-13T10:18:59
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,56,5,4,4,918,642,26.65,18.58,2023-04-13T10:19:02
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,53,5,4,4,969,679,26.65,19.72,2023-04-13T10:21:02
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,78,6,5,5,605,165,27.79,17.24,2023-04-13T14:11:52
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,78,4,4,3,592,207,26.08,21.31,2023-04-13T17:45:02
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,76,7,6,5,620,182,25.9,22.54,2023-04-13T18:25:13
