Name,MAC Address,IAQ Score,PM 10,PM 2.5,PM 1.0,CO2,TVOC,Temperature,Humidity,Time
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,77,8,7,7,616,223,25.36,31.04,2023-04-14T09:43:16
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,54,7,7,6,954,536,25.08,35.77,2023-04-14T10:35:30
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,54,8,8,7,940,556,25.17,35.45,2023-04-14T10:40:15
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,50,7,7,7,1018,537,25.17,35.06,2023-04-14T10:40:40
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,48,8,8,7,1455,1016,25.23,45.52,2023-04-14T13:57:40
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,50,10,9,8,1109,542,25.19,48.09,2023-04-14T14:27:15
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,62,9,8,7,819,456,24.87,49.4,2023-04-14T15:52:57
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,57,8,7,7,908,506,24.98,50.33,2023-04-14T16:20:56
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,61,8,8,7,838,413,25.67,34.19,2023-04-17T10:06:46
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,61,8,8,7,838,388,25.67,33.89,2023-04-17T10:06:48
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,58,9,8,7,892,412,25.66,34.39,2023-04-17T10:06:51
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,43,8,7,7,2317,2064,25.66,36.67,2023-04-17T10:12:06
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,92,10,8,7,404,101,25.44,27.3,2023-04-17T14:02:50
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,86,13,11,9,495,108,25.29,29.54,2023-04-17T14:51:39
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,70,10,9,8,710,220,25.17,31.1,2023-04-17T16:01:14
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,74,10,9,8,654,213,25.15,30.86,2023-04-17T16:10:29
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,68,9,8,7,728,264,25.54,32.03,2023-04-17T17:08:07
IAQ_UlrFfz$L,E1:56:E9:3E:3F:EF,69,9,8,8,727,304,25.21,33.75,2023-04-17T18:06:24
